group	fill	ymin	ymax	x	showSelected1	PANEL	colour
2	#FF0000	-1.31373032953658	-1.17552495118609	2.3541084391474	rpart	1	#FF0000
2	#FF0000	-1.31498847646637	-1.19623258293888	2.48855071650044	rpart	1	#FF0000
2	#FF0000	-1.3295196471027	-1.23935635832369	2.62428209583567	rpart	1	#FF0000
2	#FF0000	-1.28180404120597	-1.23129571045685	2.75966784468963	rpart	1	#FF0000
2	#FF0000	-1.30123028852388	-1.23907029952389	2.89486965674525	rpart	1	#FF0000
2	#FF0000	-1.35416439476495	-1.2789212273741	3.03019478535675	rpart	1	#FF0000
2	#FF0000	-1.33142047107991	-1.27365073913184	3.16554107672237	rpart	1	#FF0000
2	#FF0000	-1.33082964912395	-1.25827019438781	3.30102999566398	rpart	1	#FF0000
2	#FF0000	0.489942444544836	0.572930716544566	1	rpart	2	#FF0000
2	#FF0000	0.48964463113808	0.565996214073091	1.14612803567824	rpart	2	#FF0000
2	#FF0000	0.480300396648231	0.582137949400402	1.27875360095283	rpart	2	#FF0000
2	#FF0000	0.485894035502873	0.63421655970583	1.39794000867204	rpart	2	#FF0000
2	#FF0000	0.513401317476861	0.58020707723179	1.54406804435028	rpart	2	#FF0000
2	#FF0000	0.502087092712062	0.590332973695888	1.68124123737559	rpart	2	#FF0000
2	#FF0000	0.493664976860447	0.559914090024126	1.81291335664286	rpart	2	#FF0000
2	#FF0000	0.465157908457388	0.541261102819498	1.94939000664491	rpart	2	#FF0000
2	#FF0000	0.483533387285965	0.549879683237488	2.08278537031645	rpart	2	#FF0000
2	#FF0000	0.480006887311361	0.546348007979878	2.21748394421391	rpart	2	#FF0000
2	#FF0000	0.470866708568166	0.517765588774529	2.3541084391474	rpart	2	#FF0000
2	#FF0000	0.455519912734704	0.518892542131775	2.48855071650044	rpart	2	#FF0000
2	#FF0000	0.461486088420373	0.504795624899161	2.62428209583567	rpart	2	#FF0000
2	#FF0000	0.45607652628548	0.490578192462413	2.75966784468963	rpart	2	#FF0000
2	#FF0000	0.428120552109113	0.495189016415636	2.89486965674525	rpart	2	#FF0000
2	#FF0000	0.423242772331249	0.491188023295266	3.03019478535675	rpart	2	#FF0000
2	#FF0000	0.417510658424606	0.490807680254771	3.16554107672237	rpart	2	#FF0000
2	#FF0000	0.421209726775266	0.497336152262465	3.30102999566398	rpart	2	#FF0000
